,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
140,601318.SH,20181031,63.01,63.95,62.16,63.63,62.8,0.83,1.3217,782835.25,4948893.033
141,601318.SH,20181030,60.0,64.63,59.5,62.8,62.0,0.8,1.2903,1269208.29,7969650.42
142,601318.SH,20181029,65.87,65.99,61.9,62.0,65.54,-3.54,-5.4013,1216419.42,7666491.234
143,601318.SH,20181026,66.3,66.77,64.38,65.54,66.66,-1.12,-1.6802,797411.04,5212551.961
144,601318.SH,20181025,64.2,66.66,64.2,66.66,66.25,0.41,0.6189,736202.53,4816111.122
145,601318.SH,20181024,65.78,67.85,65.56,66.25,65.51,0.74,1.1296,810632.05,5398315.014
146,601318.SH,20181023,68.0,68.32,64.88,65.51,67.93,-2.42,-3.5625,1172134.46,7814653.832
147,601318.SH,20181022,66.01,69.42,65.62,67.93,65.62,2.31,3.5203,1616881.74,10961620.26
148,601318.SH,20181019,61.99,66.1,61.88,65.62,62.45,3.17,5.0761,1138815.16,7314843.218
149,601318.SH,20181018,63.49,63.52,62.25,62.45,64.16,-1.71,-2.6652,603019.84,3788520.129
150,601318.SH,20181017,65.17,65.32,62.41,64.16,64.0,0.16,0.25,761401.92,4861851.849
151,601318.SH,20181016,63.35,65.18,63.33,64.0,63.2,0.8,1.2658,584034.99,3761333.74
152,601318.SH,20181015,63.9,64.44,63.09,63.2,63.87,-0.67,-1.049,539743.26,3437483.874
153,601318.SH,20181012,62.5,64.25,62.3,63.87,61.85,2.02,3.266,774616.71,4901391.148
154,601318.SH,20181011,62.1,63.2,61.38,61.85,64.65,-2.8,-4.331,1145327.45,7141404.125
155,601318.SH,20181010,65.09,65.58,64.2,64.65,65.0,-0.35,-0.5385,582799.02,3780647.727
156,601318.SH,20181009,64.63,65.38,64.33,65.0,64.78,0.22,0.3396,486319.08,3155728.031
157,601318.SH,20181008,66.8,66.84,64.71,64.78,68.5,-3.72,-5.4307,1128444.71,7402497.487
158,601318.SH,20180928,67.5,69.1,67.44,68.5,67.2,1.3,1.9345,739523.87,5052835.863
159,601318.SH,20180927,67.73,67.75,66.86,67.2,67.96,-0.76,-1.1183,623574.33,4190581.061
160,601318.SH,20180926,67.23,69.0,66.83,67.96,67.19,0.77,1.146,908525.51,6186718.195
161,601318.SH,20180925,66.9,67.73,66.48,67.19,67.49,-0.3,-0.4445,578103.89,3878568.209
162,601318.SH,20180921,65.28,67.5,64.97,67.49,64.8,2.69,4.1512,810431.09,5386807.332
163,601318.SH,20180920,65.2,65.56,64.61,64.8,65.15,-0.35,-0.5372,418923.78,2721332.741
164,601318.SH,20180919,64.09,65.8,63.81,65.15,64.12,1.03,1.6064,834705.07,5411874.454
165,601318.SH,20180918,62.15,64.3,62.1,64.12,62.51,1.61,2.5756,635569.33,4033820.471
166,601318.SH,20180917,62.3,63.18,62.25,62.51,63.3,-0.79,-1.248,269595.87,1686602.295
167,601318.SH,20180914,62.57,63.76,62.42,63.3,62.4,0.9,1.4423,558370.41,3529776.705
168,601318.SH,20180913,61.78,62.4,61.01,62.4,60.6,1.8,2.9703,538846.97,3328513.24
169,601318.SH,20180912,61.31,61.46,60.28,60.6,61.68,-1.08,-1.751,435460.28,2644081.431
170,601318.SH,20180911,62.0,62.58,61.25,61.68,62.03,-0.35,-0.5642,347070.57,2147831.325
171,601318.SH,20180910,62.6,62.87,61.6,62.03,62.78,-0.75,-1.1946,323390.01,2008532.822
172,601318.SH,20180907,61.88,63.5,61.6,62.78,61.32,1.46,2.381,494711.65,3105514.558
173,601318.SH,20180906,62.1,62.52,61.01,61.32,62.18,-0.86,-1.3831,457426.29,2827435.706
174,601318.SH,20180905,64.41,64.64,62.8,62.8,64.8,-2.0,-3.0864,507437.18,3235414.305
175,601318.SH,20180904,62.85,64.93,62.54,64.8,62.73,2.07,3.2999,658378.78,4208358.192
176,601318.SH,20180903,62.6,63.0,62.11,62.73,62.98,-0.25,-0.397,323790.59,2027395.425
177,601318.SH,20180831,62.4,63.43,62.2,62.98,63.16,-0.18,-0.285,521114.0,3273908.661
178,601318.SH,20180830,63.5,64.05,63.02,63.16,63.01,0.15,0.2381,458496.33,2916938.041
179,601318.SH,20180829,62.68,63.3,62.65,63.01,62.9,0.11,0.1749,278926.79,1757300.92
180,601318.SH,20180828,63.8,63.84,62.6,62.9,63.47,-0.57,-0.8981,424944.21,2683512.093
181,601318.SH,20180827,63.08,63.68,62.72,63.47,62.47,1.0,1.6008,585793.43,3706028.568
182,601318.SH,20180824,61.7,63.33,61.5,62.47,62.13,0.34,0.5472,572631.51,3574475.333
183,601318.SH,20180823,61.01,62.38,61.01,62.13,60.93,1.2,1.9695,756111.3,4682981.908
184,601318.SH,20180822,61.28,61.5,60.37,60.93,59.42,1.51,2.5412,1041857.14,6355540.682
185,601318.SH,20180821,57.86,59.65,57.86,59.42,57.81,1.61,2.785,636650.64,3768112.543
186,601318.SH,20180820,56.94,57.82,56.76,57.81,56.58,1.23,2.1739,462142.66,2653996.237
187,601318.SH,20180817,57.7,57.82,56.46,56.58,56.98,-0.4,-0.702,351360.05,2009697.401
188,601318.SH,20180816,56.38,57.95,55.88,56.98,57.03,-0.05,-0.0877,475074.98,2710351.662
189,601318.SH,20180815,59.03,59.05,56.67,57.03,59.05,-2.02,-3.4208,613747.92,3531927.672
190,601318.SH,20180814,59.56,59.72,58.58,59.05,59.55,-0.5,-0.8396,308740.67,1824184.784
191,601318.SH,20180813,59.8,59.85,58.66,59.55,60.44,-0.89,-1.4725,454649.48,2692879.775
192,601318.SH,20180810,60.56,60.96,59.83,60.44,60.62,-0.18,-0.2969,349041.51,2108590.693
193,601318.SH,20180809,58.38,60.99,58.18,60.62,58.38,2.24,3.8369,635433.07,3820214.646
194,601318.SH,20180808,59.55,59.7,58.19,58.38,59.56,-1.18,-1.9812,412109.11,2426952.929
195,601318.SH,20180807,58.11,59.6,57.96,59.56,57.83,1.73,2.9915,561861.21,3306492.624
196,601318.SH,20180806,57.81,58.86,57.36,57.83,57.82,0.01,0.0173,419785.66,2438442.832
197,601318.SH,20180803,58.43,58.76,57.78,57.82,58.26,-0.44,-0.7552,362083.3,2109021.439
198,601318.SH,20180802,59.41,59.49,57.8,58.26,59.7,-1.44,-2.4121,646804.28,3782255.927
199,601318.SH,20180801,61.8,62.41,59.62,59.7,61.6,-1.9,-3.0844,563434.32,3440050.571
200,601318.SH,20180731,61.6,61.89,60.82,61.6,61.56,0.04,0.065,260698.59,1600697.232
201,601318.SH,20180730,60.9,61.92,60.75,61.56,60.87,0.69,1.1336,376370.18,2303730.924
202,601318.SH,20180727,60.98,61.33,60.57,60.87,60.8,0.07,0.1151,334171.59,2037644.574
203,601318.SH,20180726,62.28,62.48,60.68,60.8,62.16,-1.36,-2.1879,482593.31,2960086.715
204,601318.SH,20180725,62.23,62.24,61.4,62.16,61.74,0.42,0.6803,409006.24,2529701.219
205,601318.SH,20180724,61.06,63.0,61.03,61.74,61.08,0.66,1.0806,836847.07,5207884.86
206,601318.SH,20180723,60.35,61.6,60.25,61.08,60.84,0.24,0.3945,804573.37,4898411.219
207,601318.SH,20180720,58.6,61.61,58.23,60.84,58.71,2.13,3.628,1069350.78,6433573.521
208,601318.SH,20180719,58.36,59.3,58.35,58.71,57.81,0.9,1.56,703699.03,4143173.505
209,601318.SH,20180718,58.28,59.11,57.75,57.81,58.02,-0.21,-0.36,464485.05,2717273.919
210,601318.SH,20180717,57.9,58.26,57.42,58.02,57.72,0.3,0.52,379943.02,2195501.138
211,601318.SH,20180716,58.3,58.78,57.38,57.72,58.54,-0.82,-1.4,431942.08,2494024.299
212,601318.SH,20180713,58.77,58.92,58.28,58.54,58.38,0.16,0.27,393785.46,2307228.865
213,601318.SH,20180712,57.24,58.89,57.24,58.38,57.09,1.29,2.26,647707.63,3777942.008
214,601318.SH,20180711,56.75,57.51,56.56,57.09,58.18,-1.09,-1.87,473781.85,2701645.194
215,601318.SH,20180710,59.0,59.05,57.55,58.18,58.88,-0.7,-1.19,555627.43,3233279.752
216,601318.SH,20180709,57.6,58.91,57.2,58.88,56.94,1.94,3.41,696043.04,4054246.964
217,601318.SH,20180706,55.98,57.65,55.54,56.94,55.53,1.41,2.54,824311.19,4674671.786
218,601318.SH,20180705,55.7,56.27,55.18,55.53,55.52,0.01,0.02,548434.32,3054478.672
219,601318.SH,20180704,56.23,56.88,55.37,55.52,56.34,-0.82,-1.46,519493.68,2909529.851
220,601318.SH,20180703,55.6,56.56,54.33,56.34,55.22,1.12,2.03,949167.01,5276896.813
221,601318.SH,20180702,58.28,58.28,54.65,55.22,58.58,-3.36,-5.74,900189.16,5082587.156
222,601318.SH,20180629,57.12,58.63,57.1,58.58,56.83,1.75,3.08,645112.04,3729377.8
223,601318.SH,20180628,57.11,57.95,56.53,56.83,57.5,-0.67,-1.17,735991.24,4196752.214
224,601318.SH,20180627,59.1,59.45,57.44,57.5,59.24,-1.74,-2.94,697084.1,4051818.403
225,601318.SH,20180626,59.1,59.61,57.8,59.24,59.79,-0.55,-0.92,717927.64,4222114.929
226,601318.SH,20180625,61.28,61.35,59.6,59.79,61.07,-1.28,-2.1,607496.72,3673033.33
227,601318.SH,20180622,60.6,61.5,60.6,61.07,61.09,-0.02,-0.03,465376.39,2837582.693
228,601318.SH,20180621,61.86,62.56,61.0,61.09,61.85,-0.76,-1.23,605493.96,3743256.874
229,601318.SH,20180620,61.9,62.54,60.78,61.85,62.09,-0.24,-0.39,743195.22,4589333.023
230,601318.SH,20180619,63.8,64.2,61.8,62.09,64.63,-2.54,-3.93,1278263.6,8087342.652
231,601318.SH,20180615,64.1,65.16,64.02,64.63,64.44,0.19,0.29,666582.72,4315505.697
232,601318.SH,20180614,63.58,65.35,63.45,64.44,63.75,0.69,1.08,798484.71,5164445.267
233,601318.SH,20180613,63.8,63.91,63.35,63.75,63.9,-0.15,-0.23,459053.26,2922589.416
234,601318.SH,20180612,63.2,64.25,62.82,63.9,63.03,0.87,1.38,763559.25,4866437.06
235,601318.SH,20180611,62.25,63.2,61.85,63.03,62.39,0.64,1.03,512803.13,3204236.377
236,601318.SH,20180608,62.97,63.24,61.95,62.39,63.24,-0.85,-1.34,579391.37,3617103.478
237,601318.SH,20180607,63.27,64.54,63.02,63.24,62.61,0.63,1.01,746266.79,4763077.383
238,601318.SH,20180606,64.43,64.45,63.71,63.81,64.58,-0.77,-1.19,490220.28,3140622.782
239,601318.SH,20180605,63.59,65.0,63.21,64.58,63.53,1.05,1.65,885172.55,5683935.967
240,601318.SH,20180604,62.1,63.71,61.9,63.53,61.64,1.89,3.07,858897.4,5418564.799
241,601318.SH,20180601,61.91,62.19,61.28,61.64,62.13,-0.49,-0.79,408007.64,2516195.954
242,601318.SH,20180531,61.11,62.18,60.71,62.13,60.65,1.48,2.44,665388.31,4096852.001
243,601318.SH,20180530,61.31,61.7,60.58,60.65,62.38,-1.73,-2.77,490836.64,2998177.225
244,601318.SH,20180529,62.32,62.66,61.3,62.38,62.5,-0.12,-0.19,636474.46,3944873.803
245,601318.SH,20180528,61.8,62.88,61.55,62.5,61.53,0.97,1.58,458948.75,2861428.758
246,601318.SH,20180525,61.38,62.18,61.34,61.53,61.22,0.31,0.51,353929.69,2183913.985
247,601318.SH,20180524,61.96,62.27,61.16,61.22,61.76,-0.54,-0.87,441513.27,2725820.768
248,601318.SH,20180523,62.95,62.95,61.67,61.76,63.01,-1.25,-1.98,569154.52,3531232.659
249,601318.SH,20180522,63.58,63.84,62.5,63.01,63.66,-0.65,-1.02,437692.14,2757950.408
250,601318.SH,20180521,63.55,64.15,63.27,63.66,63.04,0.62,0.98,705065.71,4492367.179
251,601318.SH,20180518,61.88,63.12,61.59,63.04,62.0,1.04,1.68,566253.26,3532704.058
252,601318.SH,20180517,63.09,63.19,61.94,62.0,62.81,-0.81,-1.29,477782.23,2981258.093
253,601318.SH,20180516,63.68,63.92,62.63,62.81,63.97,-1.16,-1.81,559514.39,3539081.154
254,601318.SH,20180515,64.5,64.59,63.4,63.97,64.1,-0.13,-0.2,529529.16,3376776.321
255,601318.SH,20180514,63.7,64.58,63.5,64.1,63.1,1.0,1.58,683709.16,4387898.493
256,601318.SH,20180511,63.58,63.66,62.81,63.1,63.18,-0.08,-0.13,452105.51,2859210.137
257,601318.SH,20180510,63.3,63.75,62.61,63.18,62.95,0.23,0.37,498178.32,3143778.292
258,601318.SH,20180509,63.1,63.4,62.52,62.95,63.08,-0.13,-0.21,484431.0,3048008.852
259,601318.SH,20180508,61.36,63.88,61.24,63.08,61.19,1.89,3.09,1174720.62,7388303.87
260,601318.SH,20180507,60.55,61.47,59.71,61.19,60.71,0.48,0.79,829447.83,5035372.512
261,601318.SH,20180504,61.33,61.64,60.64,60.71,61.44,-0.73,-1.19,441586.75,2694568.405
262,601318.SH,20180503,60.88,61.58,59.9,61.44,61.34,0.1,0.16,629125.38,3831120.277
263,601318.SH,20180502,61.36,61.79,60.75,61.34,60.89,0.45,0.74,708908.42,4341690.751
264,601318.SH,20180427,63.55,63.73,58.34,60.89,63.12,-2.23,-3.53,2602862.57,15747812.239
265,601318.SH,20180426,65.68,65.89,62.81,63.12,65.5,-2.38,-3.63,841553.82,5364614.954
266,601318.SH,20180425,66.04,66.46,65.31,65.5,66.56,-1.06,-1.59,477827.61,3141687.154
267,601318.SH,20180424,65.4,67.06,65.28,66.56,64.99,1.57,2.42,906954.07,6024928.823
268,601318.SH,20180423,64.15,65.16,63.78,64.99,64.15,0.84,1.31,544466.66,3516175.405
269,601318.SH,20180420,64.2,64.87,63.51,64.15,64.48,-0.33,-0.51,603340.73,3871514.93
270,601318.SH,20180419,63.9,64.95,63.66,64.48,63.51,0.97,1.53,726473.75,4680959.624
271,601318.SH,20180418,63.78,63.95,62.6,63.51,63.13,0.38,0.6,764845.49,4841197.668
272,601318.SH,20180417,64.44,64.86,62.83,63.13,64.3,-1.17,-1.82,831672.88,5312790.696
273,601318.SH,20180416,66.01,66.66,63.88,64.3,66.18,-1.88,-2.84,809639.57,5244687.54
274,601318.SH,20180413,67.43,67.45,66.05,66.18,66.72,-0.54,-0.81,466385.74,3114028.929
275,601318.SH,20180412,67.91,67.97,66.69,66.72,67.67,-0.95,-1.4,544502.5,3659539.916
276,601318.SH,20180411,68.3,68.57,67.48,67.67,68.25,-0.58,-0.85,720924.32,4894354.063
277,601318.SH,20180410,65.69,68.4,65.39,68.25,65.96,2.29,3.47,905139.72,6064986.129
278,601318.SH,20180409,64.99,65.99,64.05,65.96,64.55,1.41,2.18,716142.85,4679345.562
279,601318.SH,20180404,64.9,65.58,63.98,64.55,64.51,0.04,0.06,679989.53,4414551.485
280,601318.SH,20180403,63.95,64.95,63.84,64.51,64.66,-0.15,-0.23,604070.68,3885145.804
281,601318.SH,20180402,64.25,66.25,64.22,64.66,65.31,-0.65,-1.0,805559.09,5242356.77
